iter	Passed	Remaining
946	9728	544
947	9736	534
948	9745	523
949	9753	513
950	9762	503
951	9770	492
952	9781	482
953	9789	472
954	9799	461
955	9808	451
956	9817	441
957	9826	430
958	9834	420
959	9843	410
960	9851	399
961	9860	389
962	9868	379
963	9878	368
964	9887	358
965	9895	348
966	9904	338
967	9912	327
968	9922	317
969	9930	307
970	9939	296
971	9947	286
972	9957	276
973	9967	266
974	9975	255
975	9985	245
976	9993	235
977	10001	224
978	10010	214
979	10018	204
980	10028	194
981	10036	183
982	10045	173
983	10053	163
984	10062	153
985	10070	142
986	10079	132
987	10087	122
988	10096	112
989	10105	102
990	10113	91
991	10122	81
992	10131	71
993	10144	61
994	10152	51
995	10160	40
996	10170	30
997	10177	20
998	10187	10
999	10195	0
